Academic Term,Course Campus,Course Identification,Subject,Subject Description,Course Number,Status,Status Description,Schedule Type,College,College Description,Dept,Department Description,Minimum Credit,Maximum Credit,Title Short Description,Title Long Description,Course Description,Default Grade Mode Description
Fall 2023,Beaufort,ACCTB225,ACCT,ACCT - Accounting,B225,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Fundamentals of Accounting I,Fundamentals of Accounting I,"(Prerequisite: MATH B111) External financial reporting for business entities, including income measurement and determination of financial position.",Standard Letter
Fall 2023,Beaufort,ACCTB226,ACCT,ACCT - Accounting,B226,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Fundamentals of Accounting II,Fundamentals of Accounting II,"(Prerequisite: ACCT B225 with a grade of ‘C’ or higher; MGSC B290 or CSCI B101) Internal managerial and cost accounting, including budgeting, cost determination and analysis.",Standard Letter
Fall 2023,Beaufort,ACCTB325,ACCT,ACCT - Accounting,B325,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Fraud Examination,Fraud Examination,"(Prerequisite: ACCT B226) An overview of the different types of fraud, how and why they are committed, and the methodology for investigating and
resolving allegations of fraud. Special emphasis is placed on detection and deterrence.",Standard Letter
Fall 2023,Beaufort,ACCTB335,ACCT,ACCT - Accounting,B335,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Survey of Federal Taxation,Survey of Federal Taxation,(Prerequisite: Grade of ‘C’ or higher in ACCT B226) Federal tax law and preparation of individual income tax returns.,Standard Letter
Fall 2023,Beaufort,ACCTB345,ACCT,ACCT - Accounting,B345,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Accounting Information Systems,Accounting Information Systems,(Prerequisite: Grade of ‘C’ or higher in ACCT B226) Accounting systems for business decision-making and effective control of the business enterprise.,Standard Letter
Fall 2023,Beaufort,ACCTB355,ACCT,ACCT - Accounting,B355,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Cost Accounting,Cost Accounting,"(Prerequisite: Grade of ‘C’ or higher in ACCT B226) Preparation, critical analysis and use of management accounting information for purposes of strategic decision making, planning and control and performance measurement and evaluation.",Standard Letter
Fall 2023,Beaufort,ACCTB425,ACCT,ACCT - Accounting,B425,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Intermediate Accounting I,Intermediate Accounting I,"(Prerequisite: Grade of ‘C’ or higher in ACCT B226) A detailed study of the preparation and presentation of the balance sheet, income statement,
statement of retained earnings, and statement of cash flows. Includes a comprehensive analysis of financial transactions related to revenues and assets, with an emphasis on revenue recognition, and asset valuation issues.",Standard Letter
Fall 2023,Beaufort,ACCTB426,ACCT,ACCT - Accounting,B426,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Intermediate Accounting II,Intermediate Accounting II,"(Prerequisite: Grade of ‘C’ or higher in ACCT B425) A continuation of the detailed study of the preparation and presentation of financial statements.
Problem solving techniques and the ability to structure problem solutions will be stressed.",Standard Letter
Fall 2023,Beaufort,ACCTB429,ACCT,ACCT - Accounting,B429,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,2,6,Internship in Accounting,Internship in Accounting,"(Prerequisite: ACCT B226 and one upper level accounting concentration class with a grade of ‘C’ or higher; and consent of the instructor) Experiential
learning in a public or private accounting setting. This course may be repeated once with the approval of the Department Chair and consent of the
Instructor.
",Standard Letter
Fall 2023,Beaufort,ACCTB437,ACCT,ACCT - Accounting,B437,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Advanced Accounting,Advanced Accounting,"(Prerequisite: a grade of C or better in ACCT B426) The detailed study of special advanced topics of accounting, including (1) accounting for business
mergers and consolidations, subsequent activities and consolidated reporting of financial information, (2) tax topics for business combinations, (3)
relevant International Financial Reporting Standards, (4) accounting for legal reorganizations and liquidations, and (5) accounting for partnership
formations, operations, and terminations.",Standard Letter
Fall 2023,Beaufort,ACCTB485,ACCT,ACCT - Accounting,B485,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Auditing,Auditing,"(Prerequisites: ACCT B426, STAT B201) Principles of auditing necessary to evaluate the integrity of accounting systems and financial reporting.",Standard Letter
Fall 2023,Beaufort,AFAMB201,AFAM,AFAM - African Amer Studies,B201,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Intro African-Amer Studies I,Introduction to African-American Studies I,"A broad introduction to the history, culture, religion, institutions, politics, economics, arts, and psychology of people of African descent as developed
from experience in both the old and new worlds.",Standard Letter
Fall 2023,Beaufort,AFAMB202,AFAM,AFAM - African Amer Studies,B202,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Intro African-Amer Studies II,Introduction to African-American Studies II,,Standard Letter
Fall 2023,Beaufort,ANTHB101,ANTH,ANTH - Anthropology,B101,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,"Primates, People and Prehist","Primates, People and Prehistory","An exploration of human origins, human evolution, human prehistory and cultural existence from its less complex forms to early civilizations. An
introduction to the concepts, methods and data of physical, biological and archaeological anthropology. May be taken with, or independently of, ANTH
B102. Satisfies 3-credit hour course requirement for Natural Science GE.",Standard Letter
Fall 2023,Beaufort,ANTHB102,ANTH,ANTH - Anthropology,B102,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Understand Other Cultures,Understanding Other Cultures,"An exploration and comparison of selected contemporary cultures, including their languages. An introduction to the concepts, methods and data of
socio-cultural anthropology and anthropological linguistics. May be taken with, or independently of, ANTH B101. (Satisfies USCB General Education
Global Citizenship and Multicultural Understanding Requirement).",Standard Letter
Fall 2023,Beaufort,ANTHB312,ANTH,ANTH - Anthropology,B312,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Contemp Cross-Cult Analysis,Contemporary Cross-Cultural Analysis,"An examination of conformity, conflict or stability, of human interactions across cultural boundaries both at home and abroad, the positive and negative consequences of increasing global interconnectedness and the role of culture change, ethnic identity or religious unity in creating contradictory social and political trends. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter
Fall 2023,Beaufort,ANTHB317,ANTH,ANTH - Anthropology,B317,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,North Amer Indian Cultures,North American Indian Cultures,"Comparative study of ethnographic data on American Indian cultures, with emphasis on their significance for ethnological theory. (Satisfies USCB
General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter
Fall 2023,Beaufort,ANTHB319,ANTH,ANTH - Anthropology,B319,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Principles of Archaeology,Principles of Archaeology,"An introduction to the principles, methods, and theory of archaeology, including prehistoric and historic case studies.
",Standard Letter
Fall 2023,Beaufort,ANTHB333,ANTH,ANTH - Anthropology,B333,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,North American Prehistory,North American Prehistory,"Prehistoric anthropology in North America from the first arrival of man through the beginning being of European acculturation.
",Standard Letter
Fall 2023,Beaufort,ANTHB344,ANTH,ANTH - Anthropology,B344,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Anthropology of Tourism,Anthropology of Tourism,"Drawing on tourism destinations, development agendas, and societies from around the globe, this course will critically examine the relationship between tourism and cultural identities and economies.",Standard Letter
Fall 2023,Beaufort,ANTHB351,ANTH,ANTH - Anthropology,B351,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Family Cross-Cult Perspective,The Family in Cross-Cultural Perspective,"Kinship, systems of descent, marriage and domestic organization in different cultures. Variations in childrearing practices, sex roles and other aspects
of social relations in kin groups. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter
Fall 2023,Beaufort,ANTHB352,ANTH,ANTH - Anthropology,B352,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Anth of Magic and Religion,Anthropology of Magic and Religion,"{§RELG B360} A comparative examination of such topics as ritual, cosmology, revitalization movements, magic, witchcraft, myth and possession.
(Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter
Fall 2023,Beaufort,ANTHB385,ANTH,ANTH - Anthropology,B385,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Gender and Language Use,Gender and Language Use,{§COMM B385} The course will explore an approach to gender and language use that emphasizes the grounding in social practice of both.,Standard Letter
Fall 2023,Beaufort,ANTHB399,ANTH,ANTH - Anthropology,B399,A,Active,Independent Study,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,6,Independent Study,Independent Study in Anthropology,"(Prerequisite: Contract approval by instructor, advisor, and Department Chair is required.)
",Standard Letter
Fall 2023,Beaufort,ANTHB452,ANTH,ANTH - Anthropology,B452,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Medical Anthropology,Medical Anthropology,"(Prerequisites: Sophomore standing or higher) Socio-cultural factors in health, illness, healing and in medical systems. Crosscultural and ethnographic evidence for public health research and program applications. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter
Fall 2023,Beaufort,ANTHB490,ANTH,ANTH - Anthropology,B490,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Selected Topics Anthropology,Selected Topics in Anthropology,Course content in research and methods varies and will be announced in the schedule of classes by subtitle. Open to juniors and seniors.,Standard Letter
Fall 2023,Beaufort,ARTEB101,ARTE,ARTE - Art Education,B101,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Introduction to Art,Introduction to Art,"Lectures in art appreciation introducing the elements and principles of the visual arts, with examples from the history of art.
",Standard Letter
Fall 2023,Beaufort,ARTHB105,ARTH,ARTH - Art History,B105,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,History of Western Art I,History of Western Art I,"Survey of the major monuments and trends in the history of painting, sculpture and architecture from prehistory to the Middle Ages.
",Standard Letter
Fall 2023,Beaufort,ARTHB106,ARTH,ARTH - Art History,B106,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,History of Western Art II,History of Western Art II,"Survey of the major monuments and trends in the history of painting, sculpture and architecture from the Early Renaissance to Contemporary.

",Standard Letter
Fall 2023,Beaufort,ARTHB201,ARTH,ARTH - Art History,B201,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,History of Animation in the US,History of Animation in the US,"{§ MART B201} (Prerequisite: ARTH B105 and ARTH B106) A survey of popular animation in the United States, from early 20th century film to
contemporary digital media, with an introduction to animation techniques using computer software.
",Standard Letter
Fall 2023,Beaufort,ARTHB315,ARTH,ARTH - Art History,B315,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,History of Medieval Art,History of Medieval Art,"(Prerequisite: ARTH B105 or at the discretion of the instructor) A survey of architecture, painting and sculpture in Europe during the Middle Ages.

",Standard Letter
