Course_Identification,Title_Long_Description,Course_Description
ACCTB225,Fundamentals of Accounting I,"External financial reporting for business entities, including income measurement and determination of financial position."
ACCTB226,Fundamentals of Accounting II,"Internal managerial and cost accounting, including budgeting, cost determination and analysis."
ACCTB325,Fraud Examination,"An overview of the different types of fraud, how and why they are committed, and the methodology for investigating and resolving allegations of fraud. Special emphasis is placed on detection and deterrence."
ACCTB335,Survey of Federal Taxation,Federal tax law and preparation of individual income tax returns.
ACCTB345,Accounting Information Systems,Accounting systems for business decision-making and effective control of the business enterprise.
ACCTB355,Cost Accounting,"(Prereq: ACCT B226) Preparation, critical analysis and use of management accounting information for purposes of strategic decision making, planning and control and performance measurement and evaluation."
ACCTB425,Intermediate Accounting I,"A detailed study of the preparation and presentation of the balance sheet, income statement, statement of retained earnings, and statement of cash flows. Includes a comprehensive analysis of financial transactions related to revenues and assets, with an emphasis on revenue recogition, and asset valuation issues."
ACCTB426,Intermediate Accounting II,A continuation of the detailed study of the preparation and presentation of financial statements. Problem solving techniques and the ability to structure problem solutions will be stressed.
ACCTB429,Internship in Accounting,Experiential learning in a public or private accounting setting. This course may be repeated once with the approval of the Department Chair and permission of the Instructor.
ACCTB437,Advanced Accounting,"(Prerequisite: a grade of C or better in ACCT B426) The detailed study of special advanced topics of accounting, including (1) accounting for business mergers and consolidations, subsequent activities and consolidated reporting of financial information,  (2) tax topics for business combinations, (3) relevant International Financial Reporting Standards, (4) accounting for legal reorganizations and liquidations, and (5) accounting for partnership formations, operations, and terminations."
ACCTB485,Auditing,Principles of auditing necessary to evaluate the integrity of accounting systems and financial reporting.
AFAMB201,Introduction to African-American Studies I,"A broad introduction to the history, culture, religion, institutions, politics, economics, arts, and psychology of people of African descent as developed from experience in both the old and new worlds."
AFAMB202,Introduction to African-American Studies II,NULL
ANTHB101,"Primates, People and Prehistory","An exploration of human origins, human evolution, human prehistory and cultural existence from its less complex forms to early civilizations. An introduction to the concepts, methods and data of physical, biological and archaeological anthropology. May be taken with, or independently of, ANTH 102."
ANTHB102,Understanding Other Cultures,"An exploration and comparison of selected contemporary cultures, including their languages. An introduction to the concepts, methods and data of socio-cultural anthropology and anthropological linguistics. May be taken with, or independently of, ANTH B101."
ANTHB301,NULL,Comparative study of selected Latin American cultures with emphasis on their significance for a broader anthropological theory.
ANTHB302,NULL,Application of techniques and insights of social and cultural anthropology to selected cultural settings in contemporary U.S.A.
ANTHB312,Contemporary Cross-Cultural Analysis,"An examination of conformity, conflict or stability, of human interactions across cultural boundaries both at home and abroad, the positive and negative consequences of increasing global interconnectedness and the role of culture change, ethnic identity or religious unity in creating contradictory social and political trends."
ANTHB317,North American Indian Cultures,"Comparative study of ethnographic data on American Indian cultures, with emphasis on their significance for ethnological theory.  "
ANTHB319,Principles of Archaeology,"An introducation to the principles, methods, and theory of archaelogy, including prehistroic and historic case studies."
ANTHB333,North American Prehistory,Prehistroic anthropology in North America from the first arrival of man though the beginning of European acculturation.
ANTHB344,Anthropology of Tourism,"Drawing on tourism destinations, development agendas, and societies from around the globe, this course will critically examine the relationship between tourism and cultural identities and economies."
ANTHB351,The Family in Cross-Cultural Perspective,"Kinship, systems of descent, marriage and domestic organization in different cultures. Variations in childrearing practices, sex roles and other aspects of social relations in kin groups."
ANTHB352,Anthropology of Magic and Religion,"A comparative examination of such topics as ritual, cosmology, revitalization movements, magic, witchcraft, myth and possession."
ANTHB355,NULL,{=BLIN 340}  Language in its social setting. The relationship between linguistic categories and culture categories. Language and cognition.
ANTHB371,NULL,NULL
ANTHB385,Gender and Language Use,The course will explore an approach to gender and language use that emphasizes the grounding in social practice of both.
ANTHB399,Independent Study in Anthropology,"(Prereq: consent of instructor, advisor, Department Chair and EVCAA) Signed contract required."
ANTHB452,Medical Anthropology,"(Prereq: Junior Standing or higher)  Socio-cultural factors in health, illness, healing and in medical systems. Cross-cultural and ethnographic evidence for public health research and program applications."
ANTHB490,Selected Topics in Anthropology,Course content in research and methods varies and will be announced in the schedule of classes by subtitle. Open to juniors and seniors.
ARTEB101,Introduction to Art,"Lectures in art appreciation introducing the elements and principles of the visual arts, with examples from the history of art."
ARTEB320,Art for Elementary Schools,Methods of teaching art to elementary school children (Grades K-6). Major emphasis will be given to relevant studio art experiences.
ARTEB330,Art of Children,A study of the prominent theories of children?s artistic development from infancy through adolescence. Student will examine children?s art from various age groups and apply theoretical explanations to these observations.
ARTEB340,School Arts Program,"An introduction to Art Education as a profession. Students examine the historical development of art education, current issues and trends and prominent rationales for including art in schools."
ARTEB341,Art Education Internship,"A series of guided pre-professional laboratory experiences featuring ""Hands on"" teaching experiences designed to introduce students to the practice of teaching art in elementary, middle and secondary schools."
ARTEB350,Methods from Incorporting New Media in Art Education,"Applications of new media such as digital photography, sound and other interactive hypermedia for the art classroom. Emphasis on integrating art production with art history, art criticism and aesthetics."
ARTEB399,Independent Study in Art Education,"(Prereq: consent of instructor, advisor, Department Chair and EVCAA) Signed contract required."
ARTHB105,History of Western Art I,"Survey of the major monuments and trends in the history of painting, sculpture and architecture from prehistory to the Middle Ages."
ARTHB106,History of Western Art II,"Survey of the major monuments and trens in the history of painting, sculpture and architecture from the Early Renaissance  to Contemporary."
ARTHB201,History of Animation in the US,"{? MART B201} A survey of popular animation in the United States, from early 20th century film to contemporary digital media, with an introduction to animation techniques using computer software."
ARTHB315,History of Medieval Art,"A survey of architecture, painting and scullpture in Europe during the Middle Ages."
ARTHB320,History of Italian Renaissance Art,"The origins and development of Renaissance painting, sculpture and architecture in Italy during the 15th and 16th centuries."
ARTHB335,History of 20th Century Art,"A surevey of architecture, painting and sculptue in the 20th century."
ARTHB390,Topics in Art History,Topic varies with suffix.
ARTHB399,Independent Study in Art History,"(Prereq: consent of instructor, advisor, Department Chair and EVCAA) Signed contract required."
ARTSB100,Workshop for Non-Majors,"Varied topics in Visual Art & Design for non-major students. This course will not count toward major or minor credit in Visual Art & Design, but would count toward elective credit, and could be repeated multiple times if in different areas.  "
ARTSB101,Studio Arts for Non Majors,Introduction to visual thinking and principles of two-dimensional design.
ARTSB102,Introduction to Visual Arts Computing,A foundations level course in the use of personal computers and disciplie-related software as aids in visual design.
ARTSB103,2-Dimensional Design,Introduction to visual thinking and principles of two-dimensional design.
ARTSB104,3-Dimensional Design,"Introduction to the principles of three-dimensional design regarding concepts, materials, and spatial arrangement."
ARTSB107,Color and Composition,"Color, color theory and compositional systems"
ARTSB111,Drawing I,Introduction to the materials and basic techniques of drawing.
ARTSB112,Basic Drawing II,Introduction to the materials and basic techniques of drawing.
ARTSB210,Painting I,"An introduction to painting that covers materials, techniques and related historical influences on the medium."
ARTSB211,Introduction to Watercolor,An introduction to the transparent American watercolor technique.
ARTSB212,Drawing II,Introduction to the materials and basic techniques of drawing
ARTSB215,Printmaking I,An introductory course in printmaking with emphasis on relief processes. 
ARTSB220,Ceramics I,An introduction to the materials and techniques of ceramics focused on hand-building with an introduction to wheel throwing.
ARTSB225,Sculpture I,"An introduction to concepts, materials and techniques related to sculpture."
ARTSB232,Figure Structure I,"The structural nature of figure, with emphasis on the translation of form in space onto a two-dimensional surface."
ARTSB233,Figure Structure II,Continuation of ARTS 232 with increased emphasis on anatomy
ARTSB245,Graphic Design I,"The basics of visual communication, including formal issues, fundamental communication principles, image development, and relevant digital applications."
ARTSB246,Graphic Design II,"Digital producaiotn studio techniques for graphic design with a focus on typography and word/image relationships. Additioanl emphases includes: design issues, fundamental communicaiton principles, image development, and relevant digital applications."
ARTSB262,Digital Photography I,An introduction to the use of the DSLR camera and software manipulation. Manual camera use and creative expression will be the focus aside from historical references pertaining to traditional and digital photography.
ARTSB265,Illustration,"Concepts, methods, and tools employed in traditional/contemporary methods of illustration with an emphasis on idea development and exploration of media for print, web and multimedia applications."
ARTSB310,Painting II,A continued exploration of the materials and techniques of painting with emphasis on individual creative expression.
ARTSB311,Painting III,Further development of technical and creative expression.
ARTSB315,Printmaking II,"Relief in Intaglio technics, include the execution of these original works in these media."
ARTSB316,Printmaking III,Intaglio and lithography techniques including the execution of original works in these media.
ARTSB320,Ceramics II,"The execution of ceramic forms with a focus on wheel throwing, firing, and glazes. Additional emphases include design, critical evaluation of form, and advancement of technical skill"
