SUBJECT_DESC,CAMPUS_DESC,STUDENT_CAMPUS_DESC,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,MEETING_TYPE_DESC,CRN,Professor,Subject,Course,Section,Title,Credits,Building,Room,Sub Academic Term,Days,Time,Class Status TBA,Max Enrollment,Actual Enrolled,Course Text Narrative
"Abbott, Amy E.",USC Beaufort,USC Beaufort,202308,Fall 2023,Class,28427,"Abbott, Amy E.",STAT,B201,P10,Elementary Statistics,3,WEB2,BEAUFORT,20 - Beaufort Full Term,       ,,TBA,24,21,PC10
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Class,28197,"Adams, Ann-Marie",COMM,B140,001,Public Communication,3,HARG,204,20 - Beaufort Full Term,M W F  ,9:00 AM - 9:50 AM,,25,22,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Exam,28197,"Adams, Ann-Marie",COMM,B140,001,Public Communication,3,HARG,204,20 - Beaufort Full Term,M      ,8:00 AM - 10:30 AM,,25,22,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Class,28199,"Adams, Ann-Marie",COMM,B140,003,Public Communication,3,HARG,204,20 - Beaufort Full Term,M W F  ,1:30 PM - 2:20 PM,,25,23,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Exam,28199,"Adams, Ann-Marie",COMM,B140,003,Public Communication,3,HARG,204,20 - Beaufort Full Term,M      ,1:30 PM - 4:00 PM,,25,23,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Class,28221,"Adams, Ann-Marie",COMM,B140,B01,Public Communication,3,CFA,103,20 - Beaufort Full Term, T Th   ,3:05 PM - 4:20 PM,,27,16,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Exam,28221,"Adams, Ann-Marie",COMM,B140,B01,Public Communication,3,CFA,103,20 - Beaufort Full Term, T     ,4:15 PM - 6:45 PM,,27,16,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Class,29170,"Adams, Ann-Marie",COMM,B201,B01,Interpersonal Communication,3,CFA,103,20 - Beaufort Full Term, T Th   ,10:50 AM - 12:05 PM,,27,26,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Exam,29170,"Adams, Ann-Marie",COMM,B201,B01,Interpersonal Communication,3,CFA,103,20 - Beaufort Full Term, T     ,10:45 AM - 1:15 PM,,27,26,
"Adams, Ann-Marie",USC Beaufort,USC Beaufort,202308,Fall 2023,Class,28201,"Adams, Ann-Marie",COMM,B240,001,Media and Society,3,HARG,204,20 - Beaufort Full Term,M W    ,12:00 PM - 1:15 PM,,25,22,
