Subunit,Form of Address,Title,First Name,Last name,Course,ID,Program of Study,Location,Course Type,Participants,Secondary instructors,Period,Sheet,The instructor was prepared to teach this course,The instructor clearly stated the method by which your final grade would be determined.,The instructor clearly stated the instructional objectives of this course.,The instructor clearly explained any special requirements of attendance which differ from the attendance policy of the University.,The instructor regularly met the class as scheduled and taught for the scheduled time.,The instructor scheduled a reasonable number of office hours per week.,The instructor graded and returned the students' written work (e.g. examinations and papers) in a timely manner.,The instructor exhibited an ability to articulate the course material.,The instructor created an atmosphere that stimulated me to want to learn.,I would rate this professor as an effective teacher.,This class/laboratory time was valuable to my education.,I would recommend this course to other students.,"Please indicate your satisfaction with the availability of the instructor outside the classroom. (In selecting your rating, consider the instructor's availability via established office hours, appointments, and other opportunities for face-to-face interaction as well as via telephone, email, fax, and other means.)","If web sites, Blackboard, or other Internet resources were a part of this course, to what extent did they enhance or detract from your learning experience in the course."
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,2,4,4,4,3,4,3,4,4,4,4,4,4,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,3,3,3,3,3,3,4,3,3,4,3,4,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,5,3,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2017,CSCIB101-001-FALL-2017,Math and CS,,Class,26,0,FALL 2017,7,4,4,4,4,4,4,4,3,3,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,1,3,3,4,4,4,3,3,3,3,3,3,3,3,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,6,4,4,4,4,4,4,4,4,4,4,3,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,7,4,3,4,4,4,4,4,4,4,4,4,3,3,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,8,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,9,3,4,4,4,4,4,3,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,11,4,4,4,4,3,4,3,4,3,4,4,3,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,12,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,13,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-FALL-2018,CSCIB101-001-FALL-2018,Math and CS,,Class,26,0,Fall 2018,14,4,4,4,4,4,4,4,4,3,4,4,2,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,7,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,8,3,3,3,3,3,3,3,3,3,3,3,3,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,9,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,11,2,3,3,3,4,4,2,4,1,4,4,2,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,12,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,13,3,3,3,3,3,3,3,3,3,3,3,3,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,14,4,4,4,4,4,3,4,4,4,4,4,4,4,5
