CourseOfferingID,Section,Days,StartTime,EndTime,Meeting_Type,ProfessorID,InstructionalMethod,CRN,MaxNumberOfSeats,CourseID,CourseTermID,StudentLevelID,LocationID
1,P10,,,,Class,2,Online,28427,24,364,83,1,92
2,001,M W F,09:00:00,09:50:00,Class,5,F2F,28197,25,991,83,1,32
3,001,M,08:00:00,10:30:00,Exam,5,F2F,28197,25,991,83,1,32
4,003,M W F,13:30:00,14:20:00,Class,5,F2F,28199,25,991,83,1,32
5,003,M,13:30:00,16:00:00,Exam,5,F2F,28199,25,991,83,1,32
6,B01,T Th,15:05:00,16:20:00,Class,5,F2F,28221,27,991,83,1,11
7,B01,T,16:15:00,18:45:00,Exam,5,F2F,28221,27,991,83,1,11
8,B01,T Th,10:50:00,12:05:00,Class,5,F2F,29170,27,659,83,1,11
9,B01,T,10:45:00,13:15:00,Exam,5,F2F,29170,27,659,83,1,11
10,001,M W,12:00:00,13:15:00,Class,5,F2F,28201,25,818,83,1,32
11,001,M,10:45:00,13:15:00,Exam,5,F2F,28201,25,818,83,1,32
12,001,M W,15:30:00,16:45:00,Class,5,F2F,28211,25,720,83,1,76
13,001,W,16:15:00,18:45:00,Exam,5,F2F,28211,25,720,83,1,76
14,001,T Th,10:50:00,12:05:00,Class,8,F2F,27579,22,830,83,1,70
15,001,Th,12:15:00,14:05:00,Class,8,F2F,27579,22,830,83,1,68
16,001,T,10:45:00,13:15:00,Exam,8,F2F,27579,22,830,83,1,70
17,002,T Th,10:50:00,12:05:00,Class,8,F2F,27581,12,830,83,1,70
18,002,T,12:15:00,14:05:00,Class,8,F2F,27581,12,830,83,1,68
19,002,T,10:45:00,13:15:00,Exam,8,F2F,27581,12,830,83,1,70
20,01W,,,,Class,8,Online,27578,24,830,83,1,92
21,001,M,13:00:00,14:50:00,Class,8,F2F,27584,24,551,83,1,68
22,002,F,12:30:00,14:20:00,Class,8,F2F,27585,24,551,83,1,68
23,003,T,18:30:00,20:20:00,Class,8,F2F,27586,24,551,83,1,68
24,007,W,11:00:00,12:50:00,Class,8,F2F,31101,24,551,83,1,68
25,B20,M W,09:00:00,11:15:00,Class,9,F2F,27305,5,1235,83,1,6
26,B20,M,08:00:00,10:30:00,Exam,9,F2F,27305,5,1235,83,1,6
27,B21,T Th,10:25:00,12:40:00,Class,9,F2F,27341,5,1235,83,1,13
28,B21,T,10:45:00,13:15:00,Exam,9,F2F,27341,5,1235,83,1,13
29,B02,M W,14:00:00,16:15:00,Class,9,F2F,27304,16,343,83,1,83
30,B02,M,13:30:00,16:00:00,Exam,9,F2F,27304,16,343,83,1,83
31,B20,M W,09:00:00,11:15:00,Class,9,F2F,27306,15,966,83,1,6
32,B20,M,08:00:00,10:30:00,Exam,9,F2F,27306,15,966,83,1,6
33,B21,T Th,10:25:00,12:40:00,Class,9,F2F,27342,10,179,83,1,13
34,B21,T,10:45:00,13:15:00,Exam,9,F2F,27342,10,179,83,1,13
35,B20,M W,09:00:00,11:15:00,Class,9,F2F,27308,5,968,83,1,6
36,B20,M,08:00:00,10:30:00,Exam,9,F2F,27308,5,968,83,1,6
37,B20,M W,09:00:00,11:15:00,Class,9,F2F,27309,5,970,83,1,6
38,B20,M,08:00:00,10:30:00,Exam,9,F2F,27309,5,970,83,1,6
39,B21,T Th,09:25:00,11:40:00,Class,9,F2F,27347,5,181,83,1,13
40,B21,T,10:45:00,13:15:00,Exam,9,F2F,27347,5,181,83,1,13
41,B21,T Th,09:25:00,11:40:00,Class,9,F2F,27348,5,183,83,1,13
42,B21,T,10:45:00,13:15:00,Exam,9,F2F,27348,5,183,83,1,13
43,B01,,,,Class,9,F2F,27350,5,336,83,1,1
44,B20,M W,09:00:00,11:15:00,Class,9,F2F,27310,5,38,83,1,6
45,B20,M,08:00:00,10:30:00,Exam,9,F2F,27310,5,38,83,1,6
46,B21,T Th,09:25:00,11:40:00,Class,9,F2F,27349,5,24,83,1,13
47,B21,T,10:45:00,13:15:00,Exam,9,F2F,27349,5,24,83,1,13
48,003,T Th,15:05:00,16:20:00,Class,10,F2F,25564,70,748,83,1,57
49,003,T,16:15:00,18:45:00,Exam,10,F2F,25564,70,748,83,1,57
50,01L,Th,08:00:00,10:40:00,Class,12,F2F,26432,24,203,83,1,78
51,02L,Th,12:00:00,14:40:00,Class,12,F2F,26434,24,203,83,1,78
52,B22,M W,16:30:00,18:45:00,Class,13,F2F,27352,10,894,83,1,83
53,B22,M,16:15:00,18:45:00,Exam,13,F2F,27352,10,894,83,1,83
54,CH2,M W,16:30:00,18:45:00,Class,13,F2F,31498,0,894,83,1,83
55,CH2,M,16:15:00,18:45:00,Exam,13,F2F,31498,0,894,83,1,83
56,B22,M W,16:30:00,18:45:00,Class,13,F2F,27353,5,896,83,1,83
57,B22,M,16:15:00,18:45:00,Exam,13,F2F,27353,5,896,83,1,83
58,B22,M W,16:30:00,18:45:00,Class,13,F2F,27354,5,898,83,1,83
59,B22,M,16:15:00,18:45:00,Exam,13,F2F,27354,5,898,83,1,83
60,B22,M W,16:30:00,18:45:00,Class,13,F2F,27356,5,36,83,1,83
61,B22,M,16:15:00,18:45:00,Exam,13,F2F,27356,5,36,83,1,83
62,01W,,,,Class,15,Online,26881,22,248,83,1,92
63,02W,,,,Class,15,Online,26882,22,248,83,1,92
64,001,M W,12:00:00,13:15:00,Class,15,F2F,26890,25,697,83,1,30
65,001,M,10:45:00,13:15:00,Exam,15,F2F,26890,25,697,83,1,30
66,001,M W,15:30:00,16:45:00,Class,15,F2F,26917,20,1145,83,1,30
