CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
1,B403,17th Century Literature,3,NULL,Poetry and prose of the 17th century.,Standard Letter,Lecture,26
2,B410,18th Century Literature,3,NULL,Poetry and prose of the 18th century.,Standard Letter,Lecture,26
3,B103,2-Dimensional Design,3,NULL,Introduction to visual thinking and principles of two-dimensional design.,Standard Letter,Lecture,6
4,B104,3-Dimensional Design,3,NULL,"Introduction to the principles of three-dimensional design regarding concepts, materials, and spatial arrangement.",Standard Letter,Lecture,6
5,B104,3-Dimensional Design,3,NULL,"Introduction to the principles of three-dimensional design regarding concepts, materials, and spatial arrangement.",Standard Letter,Studio / PE Course,6
6,B312,Abnormal Behavior in Children,3,NULL,"(Prerequisite: PSYC B311 or consent of instructor) Theories, description and assessment of child behavior problems and disorders; methods of intervention.",Standard Letter,Lecture,56
7,B311,Abnormal Psychology,3,NULL,"(Prerequisite: PSYC B101) Covers the classification, diagnosis, etiological theories and treatments of the major mental and emotional disorders.",Standard Letter,Lecture,56
8,B410,Abstract Algebra I,3,NULL,"(Prerequisite: Grade of  C  or better in MATH B230 and MATH B300) An introduction to algebraic structures. Introduction to group theory including subgroups, quotient groups, homomorphisms; introduction to rings including ideals, quotient rings, polynomial rings and fields of fractions. Offered Spring semester.",Standard Letter,Lecture,44
9,B410,Abstract Algebra I,NULL,NULL,NULL,NULL,NULL,45
10,B411,Abstract Algebra II,3,NULL,"(Prerequisite: Grade of  C  or better in MATH B410) A continuation of studies in Algebra. An introduction to modules and field theory including vector spaces, algebras and free abelian groups; introduction to field theory including algebraic extension, Galois theory and finite fields.",Standard Letter,Lecture,44
11,B411,Abstract Algebra II,NULL,NULL,NULL,NULL,NULL,45
12,B345,Accounting Information Systems,3,NULL,(Prerequisite: Grade of  C  or higher in ACCT B226) Accounting systems for business decision-making and effective control of the business enterprise.,Standard Letter,Lecture,1
13,B632,Action Research for Lit Edu,3,NULL,"Candidates will gain skills necessary for conducting action research in literacy education and coaching.  This includes assessing the needs of teacher/students, identifying research-based interventions, designing and implementing a coaching plan including identification of assessment to document effectiveness of plan, and assessing effectiveness of coaching plan.",Standard Letter,Lecture,24
14,B645,Action Research for Literacy,3,NULL,"Candidates will gain the skills to create, manage and evaluate school-wide reading programs. This includes learning adult learning theories, developing professional learning opportunities, and supervising the literacy program.",Standard Letter,Lecture,24
15,B432,Adolescent Literature & Devel,3,NULL,"(Prerequisite: ENGL B101 or B105 & B102 or B106, and one literature course at the 200-level or higher, each with a grade of 'C' or higher) Literature written for and about adolescents, examined through the critical lenses of psychological development, pedagogy, and publishing.",Standard Letter,Lecture,26
16,B326,Adult Health Nursing I,NULL,NULL,NULL,NULL,NULL,51
17,B425,Adult Health Nursing II,NULL,NULL,NULL,NULL,NULL,51
18,B302,Adv Composition and Grammar,3,NULL,"(Prerequisite: Grade of  C  or better in SPAN B202 by Phase II placement exam, or consent of instructor. Department consent required for transfer students.) Advanced practice of reading and writing in Spanish with an intensive review of Spanish grammar.",Standard Letter,Lecture,60
19,B301,Adv Conversation and Grammar,3,NULL,"(Prerequisite: Grade of  C  or better in SPAN B202 by Phase II placement exam, or consent of instructor. Department consent required for transfer students.) Advanced practice of speaking and listening in Spanish with an intensive review of Spanish grammar.",Standard Letter,Lecture,60
20,B301,Adv Conversation and Grammar,3,NULL,(Prerequisite: FREN B202 or equivalent or consent of instructor; FREN B201 strongly recommended) Current issues and events presented in French language media. Discussion and presentations in French provide practice with advanced structures and idiomatic speech.,Standard Letter,Lecture,29
21,B417,Adv Span for Bus and Professns,3,NULL,"(Prerequisite: SPAN B316 or consent of instructor) Vocabulary, concepts and oral/written skills necessary to communicate effectively in the social, cultural, or economic infrastructure of Hispanic countries. Introduction to the use of technology for the acquisition and processing of materials relevant to students  professional goals. Taught in Spanish.",Standard Letter,Lecture,60
